hen-bu-man-yi , 陈景润“1+2”证明论文简化版原文
huo-huo-15-19-39 , 谢邀，我不想谈证明出来的可能性，单纯谈谈数学这门学科，数学是一门很严谨的学科，他的证明，曾经我的高数老师跟我们说过，你们数学学的怎么样，我看你们严不严瑾就知道了，我看到了你老师的评论，你希望在数学上有所建树，渴求更大的舞台，但是世界上有太多太多的民科，请求你不要成为这样投机取巧的人，你要确定自己走的道路，投身于数学是很让人钦佩的一件事，如果证明没有成功，请你换个帐号，好好学习，在另一个地方发光发热，不要理会这些网络暴力，如果证明成功了，我妹妹教科书上就有你的名字了(๑&gt; &lt;๑），我也会在今年考研试卷上看到你。加油。
rebeccachen-74 , 如果是认真的话，把这个问题认真来看的话，我还是挺期待的。虽然同样有疑问，为什么能证明猜想眼界却还只限于清华北大，可能它对于你来说有特殊含义，又或者你只是说着玩玩，心里有了更大的目标。不管怎么样，看看你的论文是否会收到肯定吧。
yang-shan-39-69-66 , 如果我一个人打败了灭霸，楼下派出所录用我当片警么？
mathematics-3 , 数学没有这么简单的
 , 我回答的时候看到的题目是“如果高中生能证明哥德巴赫猜想，会被清华北大数学系保送吗？”，没有看到更详细的描述。下面充斥清一色的冷嘲热讽，好不欢乐。我要支持一下高中生的勇气，以防止他因为心灰意冷而丧失了对数学生涯的追求。现实中做数学研究你得适应失败。谁还没有个痴心妄想的时候呢，治疗虚妄的良药是阅读，交流，向领域内大师学习。即便在别人看来你提的问题很傻，是错误荒谬的，不要停止提问。之所以能提出这样的问题，我觉得很大程度上是因为国内数学科普做得还不够好，以至于连一个热爱数学的高中生都没有意识到哥德巴赫猜想这个问题的难度。在数学中，这种问题属于容易读懂，但证明起来特别复杂。类似于哥德巴赫猜想的问题还有费马大定理[1]等。最好的结果——被清华北大数学系保送，此结果为你从事数学研究继而成为数学家铺平了道路，那数学家群体是怎么看待这个问题的呢？This problem has the great virtue of being easy tounderstand, which makes it appealing in the way thatfermat’s last theorem [V.12] and goldbach’s conjecture[V.30] are appealing. And yet, it is not a centralproblem in the way that those two are: most mathematicianswould put it into a mental box marked“recreational” and forget about it.[2][1]这个问题从提出到解决花了358年的时间，有中译本的科普读物。[2]The Princeton Companion to Mathematics 第71页。[3]陶哲轩关于大问题的人生经验。
mo-ji-ty , 我觉得一个高中生有勇气去证明哥德巴赫猜想这件事本身就很了不起了，如果高考不能让一个人充分发挥自己的才能，答主想为自己找一条喜欢的出路又有什么可以指责？我不懂数学，但是我可以理解答主想为自己搏一搏的心情在知乎发表论文的确没有用，你可以考虑直接联系校方或者教授。虽然现在未必证明得了，但是将来的事谁说的准呢？
tu-dou-yang-yu-ma-ling-shu-68 , 然后你会发现，清华都配不上你……
wu-wang-2-92 , 对于一个高中生来说，现阶段的目标就是考到一个好大学。看到一圈评论多半认为题主的证明是错的，看轻了哥猜，还有嘲讽的。也不知道题主看到回复的心情如何。如果题主能够证明成功非常开心了！如果错误也不要太过沮丧，你才高中，还非常年轻，只要是自己的思考也还是很有意义的。有梦没有错，但要付之行动。作为高中生还是好好学习努力考上好的大学，这样有更多的时间精力做你热爱的东西，好好加油！
 , 越学习，越发现自己的无知。笛卡尔的话是颇有哲学意味的。为什么一些初高中的人敢说敢做呢？因为无知者无畏。
 ,   如果你成功证明了，那当我没说  如果你没有证明成功，我希望你能够坚持自己对数学的热爱。  我可以想象如果你没有证明成功所带来的社会舆论，因为我已经在qq等软件上看到了这件事。  如果你没能成功，建议你暂时离开知乎，因为舆论的力量很强大。  如果你没能成功，建议你坚持自己，依旧热爱数学，依旧热爱梦想，希望你能够坚持自己。  如果你没能成功，也不要气馁，上清华北大没有你想象的那么难，你可以继续在数学上坚持下去，一路走到底（我说的是你在其他学科一定上不了清华，同时你也非清华不上的情况。）   你可以依靠数学（我相信即使你没有证明成功，但是我也相信你的数学水平一定足够优秀）走数学竞赛等途径，拿国奖，我相信上清华北大不是问题。拿奥赛金奖，我觉得你也可以不用上清华了，你有更好的选择。  如果你没能成功，一时的失败不带表永远的失败。如果你坚持数学，我相信，总有一天，哥猜不是你的拦路虎。  中国的未来属于你们这样的青年，勇往直前吧。
nima-cao-27-52 , 我初中的时候就证明了。你来晚了。
luo-bu-xiao-niu-er , 我只想说...如果他真的证明出来了呢...希望每一个人都去支持热爱数学的人青年人的年少气盛不可避免我们应当做的是去鼓励他们，使求他们上进，并且有理有据的指出他们的不足而不是冷嘲热讽希望每一个热爱数学的人都被世界温柔相待
wu-wang-2-92 , 对于一个高中生来说，现阶段的目标就是考到一个好大学。看到一圈评论多半认为题主的证明是错的，看轻了哥猜，还有嘲讽的。也不知道题主看到回复的心情如何。如果题主能够证明成功非常开心了！如果错误也不要太过沮丧，你才高中，还非常年轻，只要是自己的思考也还是很有意义的。有梦没有错，但要付之行动。作为高中生还是好好学习努力考上好的大学，这样有更多的时间精力做你热爱的东西，好好加油！
 , 小时候把洗衣服的碱面扔到醋里面会冒泡，那会我也觉得自己发现了了不得的成果却苦于不知道怎么让所有人都知道...期待被打脸...因为如果这个真的被公认的证明了， 我一连哥德巴赫猜想都整不明白的小喽喽被打脸太值得了
 , “答主不要低看自己，我们将直接聘请您为我系教授。”清华大学可能会是这回复吧 
mkunge , 相比较而言，拿个国际奥赛数学或物理金奖不是更简单么？而且基本能保送的，题主别想着一开局就放大招嘛，人生漫漫，有的是机会给你放大……
zhan-sheng-hu , 大二学渣，觉得大学理论教授已经是很高深莫测啦，陈景润的故事大家小时候都听过，我觉没有学问本身就很高的人引导，考自己研究短短几个月内没法证明吧？这是社会研究？？？（说炒热度的人我也是醉了，答主炒热度图啥？......）这个世界上所有的人，并不是个个都有过你拥有的那些优越条件。”大家换位思考一下，如果你的言论是评论你的突发其想你会怎么看？
ren-zi-chen-60 , 暂且不说提问者能否真的证明，我觉得这种精神是真的值得赞赏的，有些人，非待说什么误导群众，啊不啦不啦，难道你们不觉得这个时代还有高中生人不玩手机专门去研究高数这个玩意吗…反正我在郑州这个一点五线的城市见不到，有人愿意在社会上提及这个，总比天天打游戏强吧？？玩王者要喷，踢球要喷，学个数学还不让学了？？想想俺爹那会一个个国人都满腔热血想去当兵保家卫国，现在到好，一个学生的人没一个想当兵的…所以我敬爱的九零后们，假如未来再是有那些人跟你说“年轻人你不要看不惯，你要适应这个社会。”这时候你就应当像一个真正的壮士一样直面他，你告知他:“我跟你不一样，我不是来适应社会的，我是来转变社会的。”
can-qi-ling , 同样是高三学生，你怎么这么能吹？
wu-hao-13-95-74 , 你觉得你证出来了，把你的证明过程贴出来，如果没证出来，建议先把课后习题会做的做了。
 , 燕赵自古多慷慨悲歌之士，自古英雄出少年。愿你成功
gong-sun-wan-qing , 我真心地希望题主您可以创造奇迹，期待您艳惊四座。少年人有傲气有才气是好事，真的有东西就不怕没显露的那一天。希望你赢。
a-ai-75-96 , 咋个说呢，可能是很久不看知乎了，突然这个问题就火了，推送也全是它，可是热搜榜却没有对于哥德巴赫猜想我的认识仅仅局限于它是一个数学难题好多年了没有人攻克，而已经不是高中生的我看到这个问题和下面的高赞回答还是很震惊如果我，一个高中的在读学生，某天不小心证出了哥德巴赫猜想，首先我会怀疑我是不是错了，我会问问自己为什么几百年来的难题被我解决了如果我确定了我是对的，而且我有能力玩知乎，说明我的家庭情况不会让我不努力就饿死，那么这样的我在成长过程中对于清北一定有一些粗浅的认识，知道哥德巴赫猜行和清北哪个份量更重。这个时候我会偷偷的发表自己的学术论文然后坐等出名，毕竟当年钱钟书先生高考的时候也被破格录取，哥德巴赫猜想和一份试卷哪个更重要呢？当然啦不管怎么样，题主现在已经火了并且，我表示很佩服题主这种方式，可能这就是我不火的原因吧
feng-jian-69-33 , 听我一句听我一句，万一有个系统呢？说不定就是系统送的新手大礼包啊！！！！
tai-bai-niao-dao , 我觉得吧，一个正常的高中生应该都知道这个问题的答案，也应该知道发表在知乎上是不合适的，所以这个提问可能一半是钓鱼，一半是中二病
zhao-zi-bo-24-11 , 这位“同学”，我只是真心的希望，公布答案时，你能对得起评论区那些曾安慰你、鼓励你、对你抱有期待的好心人，希望这一切不是一场闹剧或骗局，希望他们的善良不会化作泡影。越来越感觉自己像被猴耍了，请原谅我必须取关了，实在不想成为什么滑稽实验的牺牲品。
han-bao-tong-xue-88 , 突然想起我前几天看到的一篇文…
xiao-he-e-18 , 附：这睿智好像匿名了……题主的名字叫 证明 @证明 大家去关注这个睿智吧，尽情嘲讽。————————————————————————原答案：呵呵，还有一堆人支持他我也是醉了。可能那些人对哥德巴赫猜想的难度没什么直观印象。我换一个说法吧，如果题主说自己推翻了相对论，你会怎么想？当然不能一棍子把人全部打倒。但是，但是，令我无法忍受的是他的目的性与他的无知，你们翻他的动态，一个连高中命题高中数列都没搞懂的人能干出什么事情？成功的话我吃屎，十车，东风大卡。小声逼逼一句：看到题主这睿智，我仿佛看到了当年那个高考零分考生。就是那个不用圆周率算圆的面积还发一堆所谓的论文给大学妄想被保送的那位。
windzerox , 同学你好，中国科学院大学永远欢迎你
ding-ming-55-55 , 不太行，哥德巴赫猜想几十年来已经被很多高中、初中甚至小学毕业的人证明过很多次了，你可以去百度贴吧甚至在知乎相关问题下找到短则几行多至数十页的证明，这种东西怎么能让你进入清北呢？
mei-yuan-tao , 问这样的问题，佩服你也欣赏你，不论你证明正确与否，我要承认你现在真的是在学数学，我高中学的，那叫考试。
sui-han-89-75 , 知乎还没有意识到一位诺贝尔数学奖得主就要在这里诞生了什么？你说诺贝尔没有数学奖没关系只要把你这条问题下面的回答综合起来我相信下一个诺贝尔文学奖就是你的题目我都替你想好了《哥德巴赫猜想之文理两开花》
edward-xu-35 , 大概会被保送到清北数学系教书=.=而且堆垒素数论真的是高中生能搞的东西么=͟͟͞͞ʕ•̫͡•ʔ
lishinian , 我想起来一个段子说是小学生吹嘘自己的爸爸是公安局校长原因很简单 在小学僧认知体系内  公安局貌似很大 校长是最大的 联合起来便是无敌得了
chang-pu-hua-fa , 会一个字就能说完的事说了这么半天不明白讨论区都在干嘛
zhong-xiang-97 , 放心在元旦之前绝对不会举报你，最近刚好无聊得很。
flowfire , 如果你真的提供了被数学界认可的哥德巴赫猜想证明方式，别说清华北大 全世界任何一所高校你想进哪所都可以
 , 有很多自以为“善意”的评论，让我们给一个明显哗众取宠的成年人鼓励，别去嘲讽，你们是不了解数学，还是太喜欢民科？民科为何会觉得自己被“官科”欺压？难道不就是他们身边并不了解此领域的人给予了他们足够多的“善意”和鼓励，使得他们自大了起来，而“官科”却对他们不够重视，以至于使他们产生了自己被“官科”欺压的看法吗？这位同学自认为有能力证明哥猜，这不丢人，反而是热爱数学的一种表现，毕竟谁都有相似的中二时候。但是把自己的中二丢到网络这种环境来之前，作为成年人就应当有承担这一切的觉悟。(换做是我，只会先把这东西交给我老师看看。就算中二我也很清楚自己的分量。)
godz , 我觉得，瞎意淫不好。。
 , 是你这个想法就跟古代农民想着当了皇帝就有金扁担用了一样。其一，作为数学理论的皇冠之一，也可以说是人类难题之一的哥德巴赫猜想能看懂基本是理科非数学专业大本毕业的水平了。陈景润聪明么？你知道建国后中国顶尖大学出过多少数学天才么？就像农民看皇帝一样，你根本不知道其中的区别和难度。其二，如果真能证明，那么你要想的不是被保送进北大还是清华，而是上至普林斯顿下至清北交大的数学系正教授职位你准备接受哪个的问题。至于荣誉教授就随你喜欢了。
jin-tian-yi-12-83 , 老实说，不太可能。就高中生最多初等数论的水平是不可能完成的任务。当然如果你真的证明成功，别说清华北大学生，MIT哈佛牛津剑桥教授任你挑，并且下个菲尔兹奖，沃尔夫奖都是你补充一点，我高中同学用了一节数学课的时间声称自己证明了费马大定理，考虑到他的数学水平（没有其他意思他文科很好）我委婉的告诉他可能有错误，结果非得给我看，我一看，嗯除了一开始的证明写对了，其他的好像全错，，，
qing-chen-12-77 , 这个问题是不可判定的，因为它的题设是不可能成立的，所以它的结论不管是真还是假，这个蕴含（推理）都是真值，也就是说它的结论是不可判定。所以对这个问题的回答是没人知道。
asineea , 会被保送，但前提的可能性几乎没有。不过我着实期待你能写出点什打打某些高赞回答的脸，尽管难度很大，但是某些人着实让人不爽啊，何必一定用这么刻薄的语言来劝诫呢。我是学生物的，对高数了解的也不是很深入，但是我觉得题主敢于尝试很好，若是实在不行一定一定要记得回头，好好复习吧，到了好的大学有更多研究机会!
ding-ming-55-55 , 不太行，哥德巴赫猜想几十年来已经被很多高中、初中甚至小学毕业的人证明过很多次了，你可以去百度贴吧甚至在知乎相关问题下找到短则几行多至数十页的证明，这种东西怎么能让你进入清北呢？
feng-xun-13-61 , 如果题主最后没有证明出来…希望大家不要太过于苛责他…
 , 是你这个想法就跟古代农民想着当了皇帝就有金扁担用了一样。其一，作为数学理论的皇冠之一，也可以说是人类难题之一的哥德巴赫猜想能看懂基本是理科非数学专业大本毕业的水平了。陈景润聪明么？你知道建国后中国顶尖大学出过多少数学天才么？就像农民看皇帝一样，你根本不知道其中的区别和难度。其二，如果真能证明，那么你要想的不是被保送进北大还是清华，而是上至普林斯顿下至清北交大的数学系正教授职位你准备接受哪个的问题。至于荣誉教授就随你喜欢了。
cheetha , 就把论文发在知乎，颁发知乎奖，取代菲尔兹。
wang-qing-ping-15-77 , 不只会被保送进数学系，甚至可以保送进去当教授。明天CCTV的头条就是你，下一期时代周刊的封面也是你。醒醒，该搬砖了。
real-38-44 , 你这个问题是在搞笑。如果高中生证明了这个猜想，数学最强的普大可以给你直接发博士学位然后授予终身教职。回国可以进科学院，去清华北大做数学系主任问题不大。
liu-si-geng , 你想去清华干嘛？当教授还是当院长？
zhong-xiang-97 , 放心在元旦之前绝对不会举报你，最近刚好无聊得很。
vitamin-39-25 , 没有高等数学的知识几乎不可能证出来哥德巴赫猜想，你要知道，每年那么多所谓的民间证明发给大学，大学教授是一概不看。最后送你一张图。
ka-mu , 问：如果高中生能证明哥德巴赫猜想，会被清华北大数学系保送吗？答：能。请致电清华大学招生办联系方式电话：010－62770334，62782051传真：010－62782061邮编：100084 地址：北京市海淀区清华园1号清华大学招生办 Email：zsb@tsinghua.edu.cn另外清华招生办不使用知乎办公，在知乎上发表的文章也不会作为是否录取的标准。
daniel-37-86 , 同学你好：        你觉得你行就不要假设自己行，世上没有如果，请不要谦虚。能够知道哥猜已充分说明你有着扎实的数学功底，接下来只需要菲尔茨奖评委给你颁奖即可，现在全人类的数学认知水平等着你去推动，能不能保送清北完全取决于你想不想去，无论是欧拉还是高斯，你都可以用你压倒性的实力对他们不分国籍地进行一视同仁的碾压，你是下一个拉马努金，不，拉马努金也不及你，人家至少上完了高中，你中学还没毕业就已经开始思考哥猜了，拉玛努金荧烛之火怎敢与日月争辉。不知道普林斯顿和巴黎高师你更倾向于哪一个                             一个你的follower     呈上                
tinyinfa , 别北大了，巴黎六大，普林斯顿，麻省理工，哈佛，剑桥，斯坦福你随便挑好了。提醒一下，可以先去看看陈景润怎么证明的1+2。
938574874lfx , 这个问题很有意思，有2个点。一，高中生能否证明哥猜。二，证明哥猜能否进清华。咳咳咳，我个人是相信这世界有天才的存在。但，把哥猜与清华画等号的人，绝不是天才…
wo-de-nu-shen-a-qia-li , 支持他的人全是文科
 , 知乎这是怎么了？这是什么风气？好好回答问题不行吗？真是看不下去了！一个个在这冷嘲热讽，这是什么心态？能不能好好回答问题？我给你们示范一下：如果高中生能证明哥德巴赫猜想，会被清华北大数学系保送吗？答：会。答个题有这么难吗？
phcoona , 想起之前某人自称证明了黎曼猜想的时候，张益唐给的回复，你说你证明了黎曼猜想你就证明了，你说你没有证明那你就没有证明……这种事情还是要经过层层审核的，如果只是以初等数学的观点来看待这个问题的话，确实基本没多大可能的。如果你确实只是一名高中生，自娱自乐倒是无伤大雅，也可以把这些思想火花记录下来，等知识储备足够了再来慢慢研究。当然现在不是说不建议你涉足这方面，而是希望你能更加理智，至少得看看前人的工作吧。数学从来不是一个轰轰烈烈的科学，它总是有规律地一步步向前推进。如果你确实很感兴趣，以后可以考虑了解一些人在这方面的贡献以及现代对这方面工作的进展。到那时你再定夺到底要不要走上这条路。
zhang-shu-rui-86-63 , 数学我不太懂，我想说一个我懂一些的东西，文学。大家可能知道，文学的门槛比数学低的多，但是大家可能不知道的是，现在写严肃文学的人的门槛已经低到了什么程度。在网络上的所谓的文圈中，有这样一些初中，高中的孩子，他们不屑于写简单的故事，更不屑于读它们。他们读尤利西斯，读2666，读喧哗与骚动，读百年孤独。他们什么难读什么，什么厚读什么，接着，就开始尝试创作他们口中的严肃文学，尝试各种小说手法，多半是意识流（也许是他们觉得这个名字比较酷）。那么，当其他人看不懂他们的文字后，他们会做出很多解释，解释每一句中的意象，并通过这种解释来暗暗嘲讽读者。很多阅读他们作品的也是孩子，并没有很高的审美能力，面对不了解的事物，也只能违心地叫好，这却又导致了年幼作者的骄傲，自此，他们形成了一个完整的互赞严肃文学圈。但实际上，当我看到他们的文学作品时，只能看到一堆上下不相关的句子，一堆生僻辞藻的堆砌，一堆没有情节推进的人物形象。当我询问他们是否创作过人物和情节俱全的简单故事时，他们会说，没有，并再次申辩，我这是福克纳/马尔克斯的写法。题主发现了什么吗？现在是知识爆炸的时代，年轻人可以轻易地获取各种方面的知识，因此会由此产生我可以轻易完成一个伟大成果的错觉，但实际上，我不得不遗憾地告诉题主，现在想要在任何一个学科做出一个伟大成果，都比从前难的多。因为现在的所有学科，职业，都已经发展到了一个极其艰深的程度，前人几百年乃至几千年的努力，已经把它们的路走的太远太宽，我们在他们的基础上创新，就已经难上加难，更何况是走出一条新路呢？不过题主也不用灰心，如果1月1日，题主证明了猜想，那么我会很高兴跟天才生活在同一个时代，如果没有证明，题主大可以把它当作一个少年时期的幻梦，这并不丢人，相比我们在学生时代打架斗殴，争当某某地区扛把子的梦想，这种梦不是更加健康，无害一些吗？只是，人生苦短，要早点醒来啊。
 , 我小学的时候得出了杨米尔斯方程的通解，醒来后发现是一个梦，但是最关键的问题不在这儿，而是杨米尔斯方程这几个字是怎么进到我脑子里？？？我特么到上高中才知道有微积分这东西。。。
 , 这问题问得感觉像是：如果有人赚了1000亿，能去麦当劳吃一顿吗？
li-hao-28-36-45 , 如果真有那个天赋的话为什么不申请普林斯顿巴黎高师呢，ps：题主要是能证明的话拉努马金跑不了，菲尔兹应该也有很大概率
 , 我小学的时候得出了杨米尔斯方程的通解，醒来后发现是一个梦，但是最关键的问题不在这儿，而是杨米尔斯方程这几个字是怎么进到我脑子里？？？我特么到上高中才知道有微积分这东西。。。
gu-dian-28-85 , 2019年元旦你最关心的事情是○群主女装了没有?○能不能收到元旦礼物？○中美合拍的西游记上映了没有？●逼乎的高中生能否证明哥猜？
yang-wei-can-22 , 2019年快到了，你最担心的是______❌没钱过年❌中美合拍电影上映了没⭕题主的论文发表了没❌世界末日
 , 其实如果题主是普通高中（直接一点说，小城市、小县城的普通中学）出身的话，其实我还是能【稍微】理解这种心态和做法的……今天下午看到这个问题先是觉得好笑，但是后来突然想到，也许是自己离开家乡太久了，忘记了曾经的自己是在怎样的环境中求学。信息闭塞，所有人都埋头于考试，没有社团，没有模联，没有雅思托福，没有游学留学，拥有最高学历的老师是本省师范大学的本科生。我的高中已经是全县最好的高中了，老师都很负责，本一率也只有40%左右。如果是在类似于这种情况的高中里，很多学生其实根本就没有机会去接触更高层次的知识，也没有人可以引导、帮助他们。该如何做学术、做科研，要等到上大学——或者说读研读博了才会慢慢明白。题主的发问方式其实也体现了这个问题，也许是因为视野与阅历的不足，他并不能正确认识到证明哥猜的难度在学术领域的难度是怎样的，在他看来，或者说在中国的很多普通高中生看来（包括曾经的我），清北数学系就已经是数学界闪闪发光的顶级殿堂了。这种认知的不匹配，我觉得可以【部分】归因于环境的影响，因为在这些普通的高中里，清北就是天边遥不可及的存在。世界究竟有多大，科研的道路究竟有多长，真的不是每一个普通的十六七岁的高中学生都能正确理解的。看到有些答主让题主直接去发顶刊论文，其实作为高中生，正经的学术论文应该都没怎么看过吧（emmmm，应该也看不明白），也没有接触科研人员的渠道，没有人给他正确的学术引导，有知乎这么个平台让他能够探出头来接触一下外部世界，还是挺好的。题主1月1号想发证明就发吧，虽然大家都忍不住想调侃或者“嘲讽”题主，我也很想哈哈哈哈哈哈哈哈，但是也有很多人在调侃完后给出了诚恳的建议，希望题主能够认真听取。踏实学习，你真正的学术生涯不一样非要从现在起步，哥猜什么时候证明都不晚。如果题主老师的回答属实的话，还是要多啰嗦一句，偏科要不得，现阶段的主要任务，还是好好读书。无论结果如何，都祝你能有好的前途，保持对这个学科的那一份热忱，并且为之付出方向正确的努力，你的未来依然可期。说不定到那时候，你已经看不上清北啦。一只小猴子以为可以在水里捞到月亮，它激动地询问众人，我找到摘下月亮的办法了，我可以吃那根最好吃的香蕉了吗？大家都在笑它的傻气，但“我要摘下月亮”这个想法本身，好像也没什么错。最后，题主，希望你不是因为香蕉，才想去摘月亮。当然如果题主不是什么高中生，只是来骗关注的话，那就当我上面的一大段全部白说了，出门左拐垃圾桶不谢。
 , 直接跳过"我以XX为荣"的阶段，进入"xx以我为荣" 了
wei-sha-9-74 , 我儿子5岁了，我家不在重点小学的学区。请问我儿子要是证明了哥德巴赫猜想，能不能保送重点小学啊？急，在线等
wuxinju , 如果能证明哥德巴赫猜想，可以直接申请去做教授。。。。
 , 这问题问得感觉像是：如果有人赚了1000亿，能去麦当劳吃一顿吗？
wei-sha-9-74 , 我儿子5岁了，我家不在重点小学的学区。请问我儿子要是证明了哥德巴赫猜想，能不能保送重点小学啊？急，在线等
xun-wen-nuan , 大家不觉得题主的头像很奇怪很讽刺吗…也许他只是想告诉你们，你看他像猴子，其实你们也是被他耍的团团转的人罢了。
why-jiang , 公司最近上市了，估值三百亿，请问各位午餐泡面是加蛋好还是加肠好？
fang-wei-yang , 菲尔兹奖，顶级学府教职都安排上了吧。。。
ci-wei-62-11 , 这是新的自媒体营销模式么？题主这关注度现在可以接广告了呀。
jun-mo-qi-30 , 我他么特意下了逼乎app为了看您的猜想！
chai-bin-20 , 我没有获得诺贝尔医学奖是因为我的能力太差。题主没有获得诺贝尔数学奖是因为诺贝尔奖设置得太差。
kim-young-71 , 这么简单就不会两百多年都没人解出来，不要小看了数论的难度。估计这世界上都没有解决哥德巴赫猜想的知识体系。高中随随便便解出来，想多了。立贴为证。从对数学的发展历史来看，想解决数论这种问题一定是一般性的类似抽象代数，和泛函分析这样的高级抽象方法。想要用初等方法解决，肯定是死路一条。
 , @qfzklm 你写给seminar导师的信还能找到吗？放在这边挺合适的
real-38-44 , 你这个问题是在搞笑。如果高中生证明了这个猜想，数学最强的普大可以给你直接发博士学位然后授予终身教职。回国可以进科学院，去清华北大做数学系主任问题不大。
butterfly-94-15 , 这么多批评声，我倒觉得挺期待的，先支持下，感觉很刺激。
LuJianlong , “如果能打败弗利沙，会被龟仙人特训班保送吗？”
tomato-25-69 , 勇气的存在意义，在于你不得不做时给你提供动力，可不是为了给你想做什么就做什么提供动力。这是民科经常忽略的事实。
avon-zhang , 您放心，清华北大不会保送的，做系主任还行。不过您至少也是普林斯顿和巴黎高师终身教授了菲尔兹奖和阿贝尔奖都可以破格发给您，以后在人类数学长河中，您就是高斯前面那一位哦。放心 中科院都是小事情，北大会为您成立一个由您冠名的数学中心。-----------------------------以上是对问题回答，以下是对一些回答的质疑。在很多回答里 我看到很多人同情这名高中生（下文用他指代），你们说得对 ，包括我在内的很多人质疑他，甚至于讥讽挖苦他，对，说的没错。我们是在讥讽 讥讽他的傲慢与无知，讥讽有很多人依旧大言不惭而言之凿凿相信奇迹，热爱总是好事情。这都8102年了，哥猜难不难？地位高不高？没有数论代数基础能不能看懂一些基础分析？这些问题难道百度不出来吗。他难道看不到那么多优秀数学研究者的劝告吗！古往今来，无数数学大家，哪个不是天才，从未听说过哪个人有如此傲慢荒唐之言辞。他这是热爱吗？他这是民科。这不是几千年前了，苹果掉下来 了，你说你发现了万有引力 。看到有的车加速快，你说这可以看作加速度。 看到磁针旋转，你说你想到了电磁感应。这是8102年了！私以为，他可以说哥猜被证明了，因为数论的很多难题是看似很简单的，初中水平也可以了解。但是证明，却要求非常高的水平，如果不是攻读pure mathmatics方向的硕士，其他数学方向硕士也很难理解并且深入研究。在我看来，假如扔给他近世代数，点集拓扑的有难度的习题，他便不会继续叫嚣都被证明了。讲到底，还是无知。最后，送给那些圣母们一句谏言，你只看到了我们嘲讽他，却看不到他把纯粹数学按在地上摩擦！科学是严肃的，不是拿来玩弄的。有位知友说得好，任何一次民科和吃瓜群众的狂欢，都会导致国民科学素养的一次倒退。最后，两道思考题共勉。先想想怎么证明0.999999--=1先想想√2+1怎么证明为无理数以上。
obersteinlee , 我辈以心证道，可以去起点发表
qiaojie , 不能，会被当做民科送进精神病院
xi-chuan-ju-cao , 对于嘲讽这位同学的的，我真的想说一句:劝你善良！其实我真的很能理解这个同学的感受。我高考609分，一本报空上了个本地二本，还被调剂了专业，同专业全都是省内相同遭遇的……我的高中母校是山东一所升学率很不错的高中，一本升学率很高但985、211乃至清北却很少，当时想上清北在我们这所高中只有靠奥赛加分这一条路。就像你们很难理解别人为什么上个一本那么难一样，有很多人也很难理解为什么有的人那么容易就上了清北，教育资源的不平等就是这么残忍。当然在受教育权利问题上，不平等已成必然，我们没办法改变规则只能适应规则，我打心眼希望这位同学可以振作起来把弱科好好提一把。毕竟时间太宝贵，没有结果的争取不如不要。
phcoona , 想起之前某人自称证明了黎曼猜想的时候，张益唐给的回复，你说你证明了黎曼猜想你就证明了，你说你没有证明那你就没有证明……这种事情还是要经过层层审核的，如果只是以初等数学的观点来看待这个问题的话，确实基本没多大可能的。如果你确实只是一名高中生，自娱自乐倒是无伤大雅，也可以把这些思想火花记录下来，等知识储备足够了再来慢慢研究。当然现在不是说不建议你涉足这方面，而是希望你能更加理智，至少得看看前人的工作吧。数学从来不是一个轰轰烈烈的科学，它总是有规律地一步步向前推进。如果你确实很感兴趣，以后可以考虑了解一些人在这方面的贡献以及现代对这方面工作的进展。到那时你再定夺到底要不要走上这条路。
wang-xiao-ming-16-50 , 这个猜想现在过时了。建议去搞一下霍奇猜想，或者p＝np。
horace-28-81 , “如果高中生能证明哥德巴赫猜想，会被清华北大数学系保送吗？”谁被清华北大数学系保送？被保送到哪？还是被保送到清华北大数学系？恕我直言，以您蹩脚的中文表达，证明写出来我们也看不懂。
zhe-rui-lu , 我猜，题主用的是数学归纳法，对不对？说实话！
li-zi-lu-38 , 我好奇这个问题是怎么火起来的...
chai-bin-20 , 我没有获得诺贝尔医学奖是因为我的能力太差。题主没有获得诺贝尔数学奖是因为诺贝尔奖设置得太差。
xi-chuan-ju-cao , 对于嘲讽这位同学的的，我真的想说一句:劝你善良！其实我真的很能理解这个同学的感受。我高考609分，一本报空上了个本地二本，还被调剂了专业，同专业全都是省内相同遭遇的……我的高中母校是山东一所升学率很不错的高中，一本升学率很高但985、211乃至清北却很少，当时想上清北在我们这所高中只有靠奥赛加分这一条路。就像你们很难理解别人为什么上个一本那么难一样，有很多人也很难理解为什么有的人那么容易就上了清北，教育资源的不平等就是这么残忍。当然在受教育权利问题上，不平等已成必然，我们没办法改变规则只能适应规则，我打心眼希望这位同学可以振作起来把弱科好好提一把。毕竟时间太宝贵，没有结果的争取不如不要。
 , 高中生证明哥德巴赫猜想，一定刻苦努力地学习了加性数论等领域，讲到刻苦努力、百折不回，我就想到唐僧师徒四人西天取经克服种种磨难最终修成正果，取回真经。今年下半年，中美合拍的西游记即将正式开机，我继续扮演美猴王孙悟空，我会用美猴王艺术形象努力创造一个正能量的形象，文体两开花，弘扬中华文化，希望大家多多关注。
yong-you-2 , 大家好，我是提问者证明。明年元旦，我在知乎上发表的论文——证明哥德巴赫猜想即将正式开机,我将继续扮演证明人这一角色，努力创造一个正能量的形象，文体两开花，弘扬中华数学文化，希望大家多多关注。
