sen-lin-mi-lu-62-47 , 如果成功，我给大家表演，两女一杯
flute60564 , 谢邀我真的是飘了，居然有人邀请我回答这种问题，我哪里回答过数学类的问题啊，关注问题好几天了，为什么要这时候邀请我啊~我不是数学系的，只系统的学过微积分、线性代数和数理统计这些简单的课程，数学分析和数论都没有正式的学过，教材对我这种垃圾土博来说看起来也很难，学起来一点都不愉快。做个简单的，不太合适的类比，任何一个数学系的研究生来讲，如果能证明低二、三个档次的猜想，发篇AMC，嗯，一路畅通到二级教授，安家费年薪配偶工作加上任何需求，基本就是一生无忧了。但是吧，我大概知道题主这句话什么意思，可以简单从这个角度讲一下。这么说吧，这个问题火也不是没有道理的，知乎大部分用户都在15到35之间，大都受过，或者即将受高等教育。这也造成了知乎用户心气儿高、学历高、收入高、牛皮吹的响等一系列现象。但是哥猜的能力和保送的需求二者严重不对等，任何人如果有能力证明哥德巴赫猜想，那就是在世界顶峰，入选全世界教材，成为世界典范的人。有这个能力的人，不会以“保送清北”为自己的奋斗目标。题主的需求翻译成大家的需求，大概是这么个意思：大学版：如果我GPA 4.0，雅思10，托福120，能申请黑龙江东方学院的研究生么？研究生版：如果我一年能发一篇Nature和Science，够资格到海南软件职业技术学院工作么？普通人版：如果我年入上千万，能买得起我们县城的别墅么？疯子版：如果我找到了让人长生不老的药，卖50块钱一颗会不会太贵了？（如果有以上两所学校的师生看到了，我是随机百度的学校，无恶意，见谅）
ye-ji-dong-nan-xi-bei-fei , 我高中的时候每次考试都能无视牛顿定律，篡改历史，创造语言，加速板块运动，改变人类基因，我骄傲了吗？没有！！！
zhi-jiu-jiu-7 , 其实，觉得还挺可爱的看到很多这方面很厉害的人，有鼓励，有嘲讽这个孩子还能有一往无前的劲头真的挺好的我不懂数学，只是觉得，希望你以后也能保持这样的勇气呀然后不断地完善自己，变得更好
li-quan-hui-81 , 首先你得明白哥猜要证明什么，。
Simengtun , 泻药。保送什么的我不懂，但是你如果真证出来了，那孙一峰就是我二哥。——补充一点——我看高赞里张益唐的意思是说You said calculation.——再补充一点——我看陈景润的意思是年轻人好好〇〇，不要〇〇〇〇了。——接着补充——我觉得你可以参考下高赞里杨振宁对廖某的回复。比张益唐还要简练。什么？你找不到？可这就是杨振宁的回复啊
 , 清华北大是种病，得治——————————————看了题主主页大概是河北大学双非一本的水平，不如再努力一把，进个首都师范大学，该校数学系在双非中算很好的了
yao-yao-27-10-87 , 回答者应该感谢提问者给了自己机会通过嘲讽贬低提问者来抬高自己秀优越感。
ceng-ling-hao-18 , 不论如何，“证明”同学已经是一名知乎小V了，算是提前实现了我大学的小目标 留名留名，到时候我也是历史的见证者了 弱弱的问一句，我可以骗赞骗关注吗  
meng-ze-shuo , 当你问出这个问题的时候，你离成功证明就越来越远，药不能停……大哥你要不要试试证明弟德巴赫猜想
jiabao-han , 就像是在问：初中毕业得了诺贝尔文学奖能在十月发表文章吗？
ye-ji-dong-nan-xi-bei-fei , 我高中的时候每次考试都能无视牛顿定律，篡改历史，创造语言，加速板块运动，改变人类基因，我骄傲了吗？没有！！！
shi-bu-wo-dai-73 , 高中生拯救世界系列
diao-jun-36 , 虽然可能会有很多人来否定你，即使是我自己也认为你能正确证明出来的几率非常小，但是我还是支持你喔！ 同学加油！
a-xian-99-18 , 没有人在沽名钓誉哗众取宠的时候认为自己的确在沽名钓誉哗众取宠。（经热心网友提醒，除了营销号
er-yu-yiwei-san-33 , 别人奔着本科去，你奔着人家的教授岗位去，还是历史留名的那种。能证尽管证，清北庙太小，容不下你这尊大佛！
wat-54 , 男朋友跟我说无论能不能证出来作为高中生，他肯定学了很多不是本阶段的知识，这就很难得了
jiu-dai-mu-34 , 其实我早就证明出来了，但我还是想考一下你们这群凑弟，所以我不说，懂8？
qing-cao-yi-jiu , 我只能说……保送清北？？没有梦想的孩子…
wang-xiao-zhi-66-96 , 保送去北大当教授吗？对不起，看不上！
ou-yang-wan-lin-55 , 目测这是清北被黑的最惨的一次
 , 是你这个想法就跟古代农民想着当了皇帝就有金扁担用了一样。其一，作为数学理论的皇冠之一，也可以说是人类难题之一的哥德巴赫猜想能看懂基本是理科非数学专业大本毕业的水平了。陈景润聪明么？你知道建国后中国顶尖大学出过多少数学天才么？就像农民看皇帝一样，你根本不知道其中的区别和难度。其二，如果真能证明，那么你要想的不是被保送进北大还是清华，而是上至普林斯顿下至清北交大的数学系正教授职位你准备接受哪个的问题。至于荣誉教授就随你喜欢了。
yang-zhou-63-19 , 我等着看你被打脸。费马之所以为费马，可不是因为费马最后定理。而你之所以为民科，是因为歌猜。
lin-yun-1-69 , 证明失败，抬走，有请下一位追梦人。
tao-tie-8-2 , 真的热爱数学就直接把证明发出来了，为什么还要挑个1月1日……
li-lu-you-41 , 知乎变了  以前的知乎明明不是这样的前两年知乎上有个编剧说如果没有广电，自己早拿奥斯卡的时候，评论区可都是一副痛心惋惜的样子，还亮了几万赞（手动扇子脸）
ye-ji-dong-nan-xi-bei-fei , 我高中的时候每次考试都能无视牛顿定律，篡改历史，创造语言，加速板块运动，改变人类基因，我骄傲了吗？没有！！！
ljcxing-xing , 目前921人关注问题 我就想问问有多少人和我一样是来吃瓜的 
ceng-ling-hao-18 , 不论如何，“证明”同学已经是一名知乎小V了，算是提前实现了我大学的小目标 留名留名，到时候我也是历史的见证者了 弱弱的问一句，我可以骗赞骗关注吗  
li-gou-bu-hai , 2019.1.1 11.02编辑他删文章了。据他所说，他“曾经我一度觉得自己证明出了这一猜想”，算是委婉承认自己错了？于是证明同学现在正表现出努力销号的样子给我们看。也许是为了躲些砖头，也许是接着炒冷饭。似乎有点失落啊，对于他，对于吃瓜的我们。他要是继续荡着，坚持不懈地说自己是对的，也许还是会有一群吃瓜群众给他赞给他好评呢，现在不还有3万多关注嘛。明明还可以自媒体再来一波，说不定可以身跻郭英森行列呢。这么认怂，没意思呀。不过我也不想评论他了。在这新年第一天，我们看到了不少人心甘情愿为他造势起哄，心甘情愿被耍，心甘情愿被带节奏（也许证明出了呢），一起演同一场戏。好在这也就是一个无关紧要的提问而已，看了就看了，骗了就骗了嘛。只是，是不是还有其他类似的事情，在紧要的领域发生着呢。不过也有好的一面吧，这一次，朋友们应该认识到了，为什么那些知名学者教授不愿意以善意来面对这些“潜在的科学家”了。累。以下为原回答。刚刚见到该高中生的回答了。我不知道内容正确与否，但我看到了一大堆人无视严谨科学正确与否直接给赞，才一个小时就为 @证明 积累了2000余赞，6000余评论。我只看到了全民跨年的狂欢。如果说这是对一条评论点赞，可以理解为是对抖机灵开玩笑的赞许；但当这是对一个回答的评价时，抱着“厉害了”“嘲讽式点赞”的心态点赞，就是对自己点赞价值的侮辱。截至目前的六千多条评论，基本都是“前排”“留名”的评论，见不到几个有价值评论，也足见这种看客心理了。所以我认为，“高中生证明哥猜能否保送清北”作为问题来说，回答是能（当然以这位高中生答出来为前提，这一点可以坐等稍后大牛的认真评论）；作为事件，凸显的是知乎对有价值问答的忽视、对这种流量事件的放纵。我的感觉是，流量跟泡沫一样，终将驱逐良币，毁灭市场。也许这是一种卫道士心理，毕竟大众喜欢啥我管不着吧。
zhou-heng-yi-36 , 好的好的，我们都等着呢！1月1号是吧？没问题，31号晚上我一定熬到十二点。我们这种“官科”都算不上的不敢乱评价您，估计到时候您的证明我这种高中数学都不行的人也看不懂。那些水平高深的数学家又不会专门上知乎看您的文章，那可怎么办才好？我真的是为题主感到非常的焦虑，不过单纯论手法，题主比大多数民科都强哦一般民科创造奇迹以后都是立马发到网上然后光速打脸。。这个小朋友故意拖个几天，挑个黄道吉日，还弄个高中生人设，喷又不能喷的过分，还能顺便涨粉。你看，人家粉丝都500＋唉:-(，是我咸吃萝卜淡操心了。题主肯定有办法引起数学大V们的关注，嗯⊙∀⊙！说到哥德巴赫猜想，西游记里充满了各种难以置信的奇思妙想，明年由我带头，中美合资的3D西游记，就要开拍了，文体两开花，希望大家多多关注！我现在有点不爽了，昨天看到那个匿名老师的回答，原来已经变得很友善了。但是，昨天11点多，题主又发了一篇文章，申明自己的证明根本没有外传过。我现在想知道，这个匿名的老师到底是不是真的？他的言辞为什么与题主不符合？是题主自己作，不承认证明有问题，还是这个匿名用户不存在，是某人假冒的？既然自称是题主的老师，说话还有理有据的，那按他的身份应该是题主的高中数学老师，为什么题主申明里用的是“那位老师”！我对这个称谓很感兴趣。不是我黑暗，我现在怀疑是题主匿名回答，希望匿名用户或者题主出来解释解释？
wu-yan-42-70 , 坐等一月一号！
christ-58-93 , 不是，为什么这种问题会有这么多人回答啊？大家都很怕他真证明出来，从而反衬自己的无能吗？等他发了证明再评判也不迟啊。
mkunge , 相比较而言，拿个国际奥赛数学或物理金奖不是更简单么？而且基本能保送的，题主别想着一开局就放大招嘛，人生漫漫，有的是机会给你放大……
 , 拿菲尔兹都有可能
zheng-ju-long , 这么厉害的一个人应该会在征服哥猜的道路上得到不少其他瞩目的成就，或者在其他相关领域做出过不错的贡献。这个高中生一定有比高中生三个字更加耀眼的头衔做前缀～
 , 谢邀，人在美国刚下飞机。可以的。其实我在不久前，花了三周时间证明了霍奇猜想，被麻省理工破格录入成为正教授了。估计不久这个消息要传遍学术界了下一步目标是三个月内攻克黎曼猜想。利益相关：普通的中国高中生匿了
mathematics-3 , 数学没有这么简单的
niu-zhi-heng-95 , 那就猜想高考两开花，两开花
li-lu-you-41 , 知乎变了  以前的知乎明明不是这样的前两年知乎上有个编剧说如果没有广电，自己早拿奥斯卡的时候，评论区可都是一副痛心惋惜的样子，还亮了几万赞（手动扇子脸）
 , 只有严肃的东西才能叫数学。
liu-xing-min-19 , 我觉得用锄头不能挖到地心，就算你努力加强自己，提升到挖掘机也不行。
 , 我只想说，众多回答里对题主的质疑与冷嘲热讽真的有意思吗，正经答个题很难？而且你们不觉得对这位热爱数学的孩子打击太大了吗？
 , 不能。因为哥德巴赫猜想就是1+1=2问题。这是我高中数学老师说的。她说连陈景润都证明不了，他只能证明1+2=3。然后第二天，我就百度了一个皮亚诺公理，证明了1+1=2。然而我并没有被录取。
123456-76-11-2 , 高斯不也19岁搞出了正十七边形是吧 
zhang-hong-yi-32 , “我看不懂你的证明，但是楼下的朗道院士对这个问题非常感兴趣，你可以和他探讨一下”
niu-zhi-heng-95 , 那就猜想高考两开花，两开花
tu-dou-yang-yu-ma-ling-shu-68 , 然后你会发现，清华都配不上你……
li-da-chao-64 , 你是打算左脚踩右脚。然后登上月球吗？
vvvalllll , 我solo 赢了faker 能上白银吗?  实际上这个疑问毫无贬低faker 清华每年录取上千人 每年  只是在中国 至于你那个要证明的 几百年全世界无人能证  我觉得2者直接难度。比faker 和白银之间的差距不知道大了多少  4年前我lol上了黄金 洋洋得意 觉得自己很强了在同学中没人打的过我 我觉得靠我1学期打上黄金的天赋 玩几年就能去打职业了 和faker 打 几年后我还是那群同学中天赋最高的 我打到一区钻1 那个几年前郊区黄金不值一提 但现在我知道我这辈子都没机会打职业 有在solo虐我的连tga 都打不上  就好比那时候我知道亚索吹风之后a一下在r 他们不知道 我以为我是唯一会的 沾沾自喜一样 你想的别人早就想到了 这种问题本来就不是给一般人解决的 欧拉 15岁大学毕业 花了一生无法解决  我已经能猜到你现在是什么心情 我也有体会 （那年躲在被子偷偷窃喜觉得自己是个天才要去打职业了）   言归正传 所以你说这些不是你的错 等你深入了解学习 知道真正困难的在哪里就知道自己有多好笑了
wang-yuan-13-52-38 , 谢邀。身为一个物理人士没有什么过多的评论可言。但是听说题主，要发布证明的那位需要投稿。我可以很明确的告诉你，你这样大牛级的工作就应该投在nature，science这样的期刊上。如果你的英语水平不够，我可以帮你，给我个三作就好，我甚至还可以帮你修改论文的学术规范要求。也许，你将会是第一个得到菲尔兹奖的本土中国人。这样我也能吃个瓜青史留名。    不谢。送我上去，让原po看到。…………切割线…………后续，另外我在清华数学也有几位认识的教授。如果证明是真的，可以立刻帮你通知。
doubles-8-77 , 你小子还真是个多面手。为什么这种事在知乎还会引起这么大的反响，打个比方，我扔一枚硬币不耍手段，立起来的概率大约是五千万分之一，然后我对你说我扔一次，如果它立起来了你给我一千万，不然我给你一块钱。我不学心理学但是我知道大多数人都会有对此顾虑，即使明确知道扔硬币的不会耍手段。所以小伙子利用了哥德巴赫猜想这个“一千万”来给自己涨粉，实在厉害，数学营销两开花。还特意把证明放到1月1号，还嫌粉涨不够还挺贪。
zhuang-bru-feng-chang-ban-wu-shen-7 ,   这个小朋友属实聪明，不是一般人。真若能证明猜想的人会来知乎么？但这种问题却能得到广泛关注，先问个睿智问题再虚张声势一波，最后一月一日。挖掘机技术哪家强。  属实牛B。
PuffTalk , 我和火箭科学家说，你那火箭不行，燃料不好，我认为得选精煤，水洗煤不好。如果那科学家要是拿正眼看我一眼，那他就输了！
 ,    不能，因为此猜想已经被我民科吧广大吧友证明过不知多少次了。
xiao-pi-hai-de-luo-ji , 我觉得你的想法和下图得想法差不多。
mo-jiu-86-40 , 我突然想到了一种场景 题主真的证明了出来，报道大肆宣扬，然后会有很多人改阵营，现在持反对理念的人，会被批，不尊重有志青年，不知道有多少人才因此埋没，巴拉巴拉……
 , 我是真心希望我国可以涌现出这样的天才 越多越好双手合十 祈祷一月一号会出现奇迹 而不是闹剧
he-dan-dan-97 , 看到你给每个人都回了1月1号欢迎来看，结合证明难度，我只是单纯觉得你想红而已
xue-er-shi-xi-95-89 , 有没有大佬给讲一下哥德巴赫猜想到底是个什么玩意儿？陈景润老先生是怎么证的？
 , 你要是能证明哥德巴赫猜想，地球一定爆炸
liu-chong-zhi-83 , 真他妈让人失望
 , 我只想说，众多回答里对题主的质疑与冷嘲热讽真的有意思吗，正经答个题很难？而且你们不觉得对这位热爱数学的孩子打击太大了吗？
mispace , 题主你好，你对数学的热爱是件好事，对哥猜有兴趣也是好事，希望你可以循序渐进，一步一步来，走好每一步，考过高考，进入数学系再和志同道合的人一块研究，祝你好运
 , 去什么清北数学系世一大数学系欢迎你
ren-dong-lv , 高中生都在刷五三和高考题
 , 我的回答是个科普回答,不明白理科生回答的可以先看看我的回答,再去回答这个问题.我并不是说看不起高中生还是怎样,而是,他说的这个问题,真的有点生猛.我也相信咱们国人肯定未来会有能搞定它的人,但是绝不是高中生,因为知识量太大了...看一下这个所谓的"哥德巴赫猜想"的背景.可能回答的人里头有很多不是理科生,所以科普一下这到底是个什么玩意..哥德巴赫1742年给欧拉的信中哥德巴赫提出了以下猜想：任一大于2的偶数都可写成两个质数之和。但是哥德巴赫自己无法证明它，于是就写信请教赫赫有名的大数学家欧拉帮忙证明，但是一直到死，欧拉也无法证明。因现今数学界已经不使用“1也是素数”这个约定，原初猜想的现代陈述为：任一大于5的整数都可写成三个质数之和。欧拉在回信中也提出另一等价版本，即任一大于2的偶数都可写成两个质数之和。今日常见的猜想陈述为欧拉的版本。把命题"任一充分大的偶数都可以表示成为一个素因子个数不超过a个的数与另一个素因子不超过b个的数之和"记作"a+b"。1966年陈景润证明了"1+2"成立，即"任一充分大的偶数都可以表示成二个素数的和，或是一个素数和一个半素数的和"。关于欧拉大神:莱昂哈德·欧拉（Leonhard Euler ，1707年4月15日～1783年9月18日），瑞士数学家、自然科学家。1707年4月15日出生于瑞士的巴塞尔，1783年9月18日于俄国圣彼得堡去世。欧拉出生于牧师家庭，自幼受父亲的影响。13岁时入读巴塞尔大学，15岁大学毕业，16岁获得硕士学位。欧拉是18世纪数学界最杰出的人物之一，他不但为数学界作出贡献，更把整个数学推至物理的领域。他是数学史上最多产的数学家，平均每年写出八百多页的论文，还写了大量的力学、分析学、几何学、变分法等的课本，《无穷小分析引论》、《微分学原理》、《积分学原理》等都成为数学界中的经典著作。《无穷小分析引论》、《微分学原理》、《积分学原理》这3个都是大学的东西,而且不一定普通大学生就能搞定的.所以它的创造人刚了一辈子刚到死都刚不动的东西...在没看明白这3个东西之前..嗯....概率有点低啊..那么18岁的少年能有多生猛?来给不明就里的答者看看人类历史上的天才是个什么水准爱因斯坦:1901年3月21日（22岁），爱因斯坦正式取得瑞士国籍。在这一年5到7月完成电势差的热力学理论的论文。1905年（26岁）3月，爱因斯坦发表“量子论”，提出光量子假说，解决了光电效应问题。4月向苏黎世大学提出论文《分子大小的新测定法》，取得博士学位。5月完成论文《论动体的电动力学》，独立而完整地提出狭义相对性原理，开创物理学的新纪元。这一年因此被称为“爱因斯坦奇迹年”。关于爱因斯坦的数学,你可以搜索一下一个人:格罗斯曼,他帮了爱因斯坦计算数学题方面的忙.爱因斯坦是一个物理学家中数学最牛B的,但是数学家中数学就那样了.也就是,爱因斯坦的爆炸年是26岁.高斯1788年，11岁的高斯进入了文科学校，他在新的学校里，所有的功课都极好，特别是古典文学、数学尤为突出。他的教师们和慈母把他推荐给伯伦瑞克公爵，希望公爵能资助这位聪明的孩子上学。 布伦兹维克公爵卡尔·威廉·斐迪南召见了14岁的高斯。这位朴实、聪明但家境贫寒的孩子赢得了公爵的同情，公爵慷慨地提出愿意作高斯的资助人，让他继续学习。 1792年高斯进入布伦兹维克的卡罗琳学院继续学习。1795年，公爵又为他支付各种费用，送他入德国著名的哥丁根大学，这样就使得高斯得以按照自己的理想，勤奋地学习和开始进行创造性的研究。 1796年高斯19岁，发现了正十七边形的尺规作图法， 解决了自欧几里德以来悬而未决的一个难题。 同年，发表并证明了二次互反律。这是他的得意杰作，一生曾用八种方法证明，称之为“黄金律” 。 1799年，高斯完成了博士论文，获黑尔姆施泰特大学的博士学位，回到家乡布伦兹维克，虽然他的博士论文顺利通过了，被授予博士学位，同时获得了讲师职位，但他没有能成功地吸引学生，因此只能回老家-又是公爵伸手救援他。数学王子,高斯,他的爆发年龄是19岁,就算他的正17边算是人类最高成就好了(其实并不算)然后我看了看世界上的其他大师..都比不上答主...因为他们的爆发年都超过20岁了..答主鄙视的哪里是我们,而是下图中的所有人.我想表达什么?那就是,答主,我期待1月1日.因为地球上下一个爱因斯坦,就要来了.........哦不,爱因斯坦弱了..那破老头26岁才明白事.至少是高斯+爱因斯坦..其他像什么,捣蛋的费曼,牛顿,黎曼什么的,都是渣渣...您秒了整个地球....而不是区区大学生..看到这里,大家应该明白为什么我们这些理科生会这么诧异了吧...不是我们酸,而是,如果他真的可以,他不会想着跟吾等渣渣对话的..智商不在一个水平线..完全蔑视整个地球人...
sheng-li-zuo-yong , 如果1.1题主证明出来了，请联系我，每人发10块钱红包
ji-ze-ming-72-53 , 我寻思这位小老弟花三个月完全掌握了数学
guang-tong-di-guang , 那一月一日我们知乎见？占坑
liu-liu-39-68 , 以下对话发生在去年，就是我我研三还没读博的时候。我：老师我想写个综述导师:你读了多少篇论文了我：没数过，几十篇得有了吧导师：呵呵，你还是先去读论文吧那时候的我很不忿，劳资也读了不少论文了（本专业论文并不太多），说几十篇也是谦虚一下，于是我不服气啊，又找老师说这个事情，然后老师让我写个构架，我憋了俩月没憋出来，这事情就搁置了。这学期开学，看了一个子类的很多论文，然后给老师做了几次汇报，然后我才了解，当时真的是初生牛犊不怕虎。数学领域我不懂，但是这个肯定是个科学难题什么是科学难题，就是许多人基于很多基础理论和研究都没搞出来的东西。就像我想写个综述，结果发现其实文献还没读透，站在现在的角度才觉得以前的自己知道的太少，其实现在知道的也少，只是比以前多点，距离普通科研人员都还差一大截。然后明白过一个道理，难题就是难题，许多比你聪明的人比你努力的都没解决，初入科研时候读了点文章就想着去解决难题，然后才发现自己真的是太自信了。所以，我可能有点跑题了，我只是想说，你真的解决了你所说的这个难题么再回到你的问题，这个问题你都解决了，还清华北大。。。其实我觉得哈佛可以聘请你当教授了。
yi-jiang-nan-78 , 这个应该是目前保送北大清华最难的方法了小伙子。
meyer-frank , 我就想知道，这个问题下有任何一个支持题主的答案是来自于上了本科的理工专业学生嘛？科研和买彩票最大的不同在于，过程与结果同样重要，彩票无论你跳大神，还是自己猜的，结果对了就行。科研则是要严谨的过程，你论文里每一段引用，每一个计算都要有来源和详细的过程，不是结果对了就好的，甚至只要你的过程正确无误，推导出的结果推翻了一开始的假设，那么这本身就在学术上是个有意义的成果。学术圈一个不严谨就是身败名裂，这也是为什么民科被人鄙视的原因，5分钟拍拍脑子想想出来的东西，用几年时间来骚扰研究机构和大学的科教工作。问推导过程，全是玄学，问计算过程，不需要，看看不就懂了？反正他们也不会高数，鸡同鸭讲。最后，我再说一遍，这句话也是对题主说的，只有当你真正进入大学，学习到真正的理工科知识，了解到科研工作的过程的时候，你才会真正对科学和知识产生敬畏。尤其是一个在考试中搞得你死去活来的知识点已经是快一百年前的知识，你就不会对科学研究这件事上抱有任何的侥幸心理。
dan-ding-1111 , 会的，应该可以保送清华大学数学系终身教授，捎带给个中科院院士，而且去不去还不一定，毕竟国外有哈佛、耶鲁、麻省理工，国内有港大、北大、浙大，还有中科院，这些机构打起来的话，清华赢得可能性不算很大。
 , 我竟然还看到有回答揪着那句1.1公布欢迎观看不放的。我作为一个数学从来没有及过格的文科生，虽然不懂你们在探讨什么高深的学术问题，但我不喜欢你们自以为是的幽默。
luo-kai-teng-57 , 我原以为证明过程就算没有一本笔记本，也有半本，万万没想到挤一挤的话一页纸大概都写不满……心情复杂 
 , 我先关注 江上代有才人出 … 不敢妄言  本人尝试编程获取一个大素数 也就几个大素数  在前人的经验上 在语言上精益求精 也只是尽量缩短时间 … 大四也花了快半多年的时间 太难了 ！
yexin , 高中生研究哥德巴赫猜想类似用木刀对付坦克，完全没有希望
ahll-ahll , 我就想说，为什么知乎放任这种民科泛滥成灾也完全不管？提问水准堕落到跟quora差不多了。
yi-mei-ku-bi-de-gao-zhong-sheng , 同高中，何汝秀
lishinian , 我想起来一个段子说是小学生吹嘘自己的爸爸是公安局校长原因很简单 在小学僧认知体系内  公安局貌似很大 校长是最大的 联合起来便是无敌得了
yibie-jing-nian-84-3 , 欢迎给我系数论大牛孙智伟老师发邮件，如果有道理的话他应该会很有兴趣。邮箱的话登录南京大学数学系官网可得。
 , 我先关注 江上代有才人出 … 不敢妄言  本人尝试编程获取一个大素数 也就几个大素数  在前人的经验上 在语言上精益求精 也只是尽量缩短时间 … 大四也花了快半多年的时间 太难了 ！
 , 简单明了的说，如果把上北大的难度类比赚钱买一台iPhone Xs，那么证明哥猜的难度等同于赚钱收购苹果公司。然后问出这个问题的人大概只能买个iphone6s吧。
fjy-22-56 , 取关举报，不是针对作者，就怕会有营销号利用这种手段骗取流量
wang-jun-yan-79-24 , 2018/12/19更新2018/12/30更新惊闻又一高中生自称能够证明哥德巴赫猜想，深感长江后浪推前浪。看了众多答案，许多答案几近冷嘲热讽。很多人都在笑，我却笑不出来，眼泪往肚子里咽。因为，一个国家没有人才是可怕的，有人才没被发现是可悲的，但发现了人才却对其进行嘲讽就是可耻了。但是，证明不是乱证，猜想不是乱猜。连陈景润老先生都说，只用初等数论的知识是无法解决哥德巴赫猜想的；但你如果一定要告诉我们你可以“骑自行车上月球”，结果我们看到你是骑自行车上了一个写着“月”字的球，那么你作为证明者是要向本国人民谢罪的。不管结果怎样，我都希望题主能够给各位一个交代，毕竟证明哥德巴赫猜想是具有世界级影响力的事情，不可儿戏。就算题主失败了，也不要气馁。有勇气去证明哥德巴赫猜想的，想必已有比较扎实的数学功底和强大的数学思维。希望题主日后苦练七十二变，笑对八十一难。说到八十一难，我就想起我国四大名著之一《西游记》。明年下半年，中美合拍，正式开机，弘扬中华文化，文体两开花，多多关注。2018/12/29更新头一次收到那么多赞！知乎小透明表示很激动，也很惭愧。因为本身自己不太懂数学，却很想回答这个问题，所以只能以抖机灵的方式来回答一下。这几天我也在持续关注新回答，更加明确了自己的立场：题主是没有办法证出费马大定理的。距离题主约定的时间还有三天。2018/12/30更新经评论提醒问题被修改了，问题描述没有了。不知是有别人修改还是题主修改了？问题描述没有的话，这个问题就没有什么意义了，大部分回答也答非所问……
liu-yu-tong-6-85 , 给我张小点的纸，我能用费马证明费马大定理的方法证明哥德巴赫猜想，然而清北根本不鸟我( •̩̩̩̩＿•̩̩̩̩ )手动狗头
dodolang , 高中生如果能证明哥德巴赫猜想，那他不用上清华北大，也不会问这种弱智问题。说的过分了点，人不中二枉少年嘛。但是事实就是这么残酷啊。如果你将来想从事数学研究，那么一条路是竞赛，一条路是高考，拉马努金只有一个。
hunter-huang-61 , 有这个实力还要读什么清华北大？如果我跑200米破了世界纪录还会被体校特招吗？
leng-biao-73 , 有我当年的风范。（建议你发布前再检查检查）
ci-wei-62-11 , 这是新的自媒体营销模式么？题主这关注度现在可以接广告了呀。
lin-wu-yz , 暗中观察这个问题已经很久了，直到看到题主的老师来了这个答案全篇翻译过来就是——“对不起，我只是个普通高中教师，我的知识只能把你教到这种程度，但当他们嘲讽你时，我得站出来保护你。”在这背后透露出的是一位普通人民教师面对那些有想法的学生的无奈，但当这种无奈来临时却又予以的是鼓励，他说“加油吧加油吧，我教不了你啦，得靠你自己努力”，于是他在知乎上看到了自己的学生，宣称自己证明了哥德巴赫猜想，他便又站了出来，说：“对不起，这是我的学生，他只是一个想实现梦想别无渠道却又不甘心的孩子，咬着牙不自量力的样子可能有些好笑，但请你们别伤害他，因为他老师来了。”
jiang-rui-feng-45-79 , 果然我真的太善良了，对于我确实不该劝民科从良的，各位圣母们脸可疼？几句话送给你：井蛙不可语海，夏虫不可语冰；朝菌不知晦朔，蟪蛄不知春秋。小小年纪怕是不知道哥猜在数学界的分量，也怕是不知道前人做过多少功课，只不过看着猜想通俗易懂就觉得证明也应该通俗易懂。说好听点叫初生牛犊不怕虎，说难听点叫不是蠢就是坏。话又说回来，这个年纪无论是蠢还是坏都还有救，可千万别不听劝，沦为民科吧那群货色可就晚了。要是觉得我的话说重了，可以先给你学校的教数学竞赛的老师看看，如果他有耐心那应该用不了几分钟就能给你指出错误，省的到时候发出来被一群人挑错，毕竟这个年纪也挺爱面子的，下不来台也不好。
zewei-chu , 可以保送清华北大当教授，虽然我觉得人家未必愿意去，
xiaomm8341 , 年轻人,好好学习,不要整天意淫!还有,不要学基础学科,真的是一毕业就失业,张益唐还是北大数学系呢,结果博士一毕业就失业,没老婆没孩子没钱没房子,送外卖洗盘子去了,好在后来有点成果了,所以,年轻人,好好学习,不要意淫,清华大学数学系又如何?我真的不稀罕,在大家都向钱看的时候,学数学能转变成钱吗?
phcoona , 想起之前某人自称证明了黎曼猜想的时候，张益唐给的回复，你说你证明了黎曼猜想你就证明了，你说你没有证明那你就没有证明……这种事情还是要经过层层审核的，如果只是以初等数学的观点来看待这个问题的话，确实基本没多大可能的。如果你确实只是一名高中生，自娱自乐倒是无伤大雅，也可以把这些思想火花记录下来，等知识储备足够了再来慢慢研究。当然现在不是说不建议你涉足这方面，而是希望你能更加理智，至少得看看前人的工作吧。数学从来不是一个轰轰烈烈的科学，它总是有规律地一步步向前推进。如果你确实很感兴趣，以后可以考虑了解一些人在这方面的贡献以及现代对这方面工作的进展。到那时你再定夺到底要不要走上这条路。
 , 我初中的时候也做过写小说得诺贝尔文学奖然后保送北大的梦
mu-mu-yida-hao , 愚公移山被智叟群嘲。会不会成为又一个典故？板凳已经搬好了。
quakefather , 不说别的，该高中生先证明他能完全理解陈景润的哥猜证明再说吧。不需要证明哥猜，能高中阶段能独立读懂陈景润的哥猜，已经足够报送世界上任何一所大学的数学系了。读一本还是大材小用了，直接硕博连读起步？何须再去证明什么？
shuo-feng-zhu-42 , 用户 @证明 通过第一页纸的前半段的文字证明 证明出了-1既是质数又不是质数？以及
 , 会。前提是你的证明是严谨正确的，并且能被学术界承认。在未公开前请你仔细检查自己的证明是否足够严谨，并确保证明中没有任何自以为是的“常识”，往往这些一笔带过的“常识”才是证明中最具有本质难度的。年轻人对于数学有热情是值得鼓励的，但希望你在研究一个问题前先足够的了解它，毕竟有无数个水平远远凌驾于清华北大水平之上的天才对此也苦苦思索而不得解之。不过，如果你是伽罗瓦转世，就当我没说。
